num_distr,rt
10,15.3579338
10,1.7038357
10,1.3923374
10,1.5296437
5,1.467565
5,1.0677739
5,1.7691001
5,1.4514986
10,1.6407848
5,5.480945
5,1.3986765
5,1.4008076
10,1.6199947
5,1.4702268
10,2.0704541
5,1.300021
10,1.2510675
5,1.2502233
10,1.3373878
5,1.2022668
5,1.3326656
5,1.5699373
5,1.3855782
10,2.0881146
5,2.0684998
10,1.3257299
5,1.2204998
5,1.2974339
5,1.484933
10,1.3918718
10,1.3590427
10,1.6748867
10,1.3217146
10,1.7953987
10,1.2983976
10,1.3571783
5,1.2281995
10,1.2799684
5,1.1686218
5,1.6681818
5,1.5538623
5,1.5368006
5,1.6325674
5,1.2859908
5,1.4994157
5,1.2533973
10,2.1232609
5,1.5492863
10,1.2882303
5,1.1702152
10,1.7434852
5,1.9350653
5,1.6855675
10,4.3885425
10,2.3408232
5,1.3035678
10,1.2222915
5,1.2486832
10,1.7263404
10,1.4610504
5,1.369844
5,1.5206259
10,1.6755566
5,1.3348468
5,1.0868547
10,1.3068862
10,1.490701
5,1.7005376
10,2.3238455
10,2.0032516
10,1.2431326
10,1.1048012
5,1.3043771
5,1.3356193
5,1.1027027
5,1.3339205
5,1.1534537
5,1.2191367
5,1.8333668
10,1.7410387
10,1.6932959
10,1.34158
5,1.3183135
10,2.0258369
5,1.2368866
10,1.1258069
5,1.4471878
10,1.109763
10,1.2560597
10,1.8257292
10,1.4090398
5,1.2158784
10,1.8426393
5,3.1980913
5,2.2172619
5,2.2973022
10,2.2416766
10,1.5903856
5,1.5530721
10,1.9923613
5,1.1993345
10,1.1909468
10,1.2270717
5,1.2352988
10,1.3911272
10,1.8046809
5,1.0361438
10,1.473611
10,1.2245678
10,1.1751499
10,1.4425373
10,1.5253221
5,1.3375665
10,1.6062462
10,1.9257228
10,1.1419227
10,2.0575025
10,1.90687
5,2.0352089
5,1.8688734
10,1.7429139
10,1.2087773
5,1.7176955
10,1.4259179
5,1.3014845
5,1.0673342
10,1.3719972
10,1.3240877
5,1.2015073
10,1.6232649
10,1.892001
5,2.1345407
10,1.1749051
5,1.4363706
10,1.0943913
5,1.352432
10,1.4399354
10,3.3885615
10,4.7199184
10,1.2697746
10,1.5390697
5,3.2326629
5,3.4798415
5,1.2830311
10,1.5760518
5,1.4496273
5,2.1011383
10,1.7407065
5,1.3357997
10,1.3234164
5,1.5823976
10,1.6383325
10,1.4250905
5,1.8665718
10,2.0220129
10,2.1893031
5,1.9984889
10,1.4578983
10,1.5228157
5,1.620226
10,1.7065941
10,2.0411715
10,1.2968993
5,1.2856455
10,1.5718388
10,1.4235811
5,1.5024802
5,1.6502299
10,1.155647
10,1.2559433
5,1.732795
5,1.1195601
5,1.0500403
5,1.2767914
10,1.5735145
5,1.2020736
5,1.5024743
5,1.7490256
10,1.4262251
10,1.3761154
10,1.4699193
5,1.4704093
5,1.4518559
5,7.4988172
10,1.189914
10,1.0745445
10,0.976744
10,1.3339784
5,1.181202
5,1.9011897
5,1.2699669
5,1.32042
10,1.2411065
10,1.8723876
10,1.2093954
10,1.6931616
5,1.1189948
10,2.275889
5,1.2708082
5,1.2026238
